strategy,period,sharpe_gross,sharpe_net,sortino_net,calmar_net,total_pnl_gross,total_pnl_net,total_costs,return_pct,max_drawdown,turnover_ratio,holding_horizon_hrs,num_hours
Strategy 1 (MR+MVO),In-sample,1.4029071156316848,1.3610910840225763,1.6888149006926607,2.4321233052781537,25336.68602009899,24582.906761389993,753.779258708995,245.82906761389992,-10079.974274441582,0.009235360515873944,500.8512334049521,8784
Strategy 1 (MR+MVO),Out-of-sample,1.2159514444001729,1.1496399143287643,1.4362977045734682,1.1344303935342983,17418.211212144935,16471.52221798633,946.6889941586014,164.7152221798633,-11827.418302894619,0.009515540163465399,490.543773907799,10754
Strategy 1 (MR+MVO),Full period,1.2914012420004393,1.239958501646835,1.548218437109847,1.5579286733019881,42795.68711058527,41095.21885771767,1700.4682528675962,410.9521885771767,-11827.418302894552,0.009390056082783623,495.0749585332011,19537
Strategy 2 (Trend),In-sample,-0.8303138488738436,-0.8568001554789553,-0.9485506274443551,0.4159713790268663,-15333.134399762908,-15823.152710309223,490.0183105463201,-158.23152710309222,-37935.11007787772,0.005696517641138164,447.1513841411396,8784
Strategy 2 (Trend),Out-of-sample,0.9133722542164828,0.8796844880981158,1.1443865485546962,1.066638814782994,15370.517954727076,14807.181948753394,563.3360059736816,148.07181948753393,-11308.086019690783,0.005360591625881005,495.75648530155536,10754
Strategy 2 (Trend),Full period,0.00034939382426774383,-0.029169786784150078,-0.034452985727818124,0.010954106941999154,12.466051070558024,-1040.888265449441,1053.3543165200017,-10.408882654494409,-42606.255328415675,0.005511901177482825,473.1476234700757,19537
