multiplier,label,oos_sharpe,oos_pnl,total_costs_oos
0.0,0.0x,1.216,17418.0,0.0
0.5,0.5x,1.183,16945.0,473.0
1.0,1.0x,1.15,16472.0,947.0
2.0,2.0x,1.083,15525.0,1893.0
3.0,3.0x,1.016,14578.0,2840.0
5.0,5.0x,0.881,12685.0,4733.0
