rebal_freq,label,oos_sharpe_gross,oos_sharpe_net,oos_pnl_gross,oos_pnl_net,oos_costs,turnover,holding_hrs,full_pnl_net,full_sharpe_net
6,6h (current),1.724,-0.693,25305.0,-10180.0,35485.0,0.3632,13.2,-28956.0,-0.984
24,24h (daily),0.437,-0.517,6505.0,-7711.0,14216.0,0.1495,32.1,-39158.0,-1.221
168,168h (weekly),-0.005,-0.276,-64.0,-3670.0,3606.0,0.0388,122.6,-4210.0,-0.136
336,336h (bi-weekly),-0.687,-0.819,-9102.0,-10851.0,1750.0,0.0196,240.3,-36595.0,-1.221
720,720h (monthly),1.219,1.153,17459.0,16512.0,947.0,0.0095,490.5,41095.0,1.24
