,cov_train,s_raw_train,s_raw_bps_train,s_decimal_train,s_decimal_oos,s_bps_train,s_bps_oos
BTCUSDT,-14518.302891722875,0.0018284320159458614,18.284320159458616,0.0005,0.0005,5.0,5.0
ETHUSDT,-26.933826745769966,0.0017045637434640348,17.045637434640348,0.0005,0.0005,5.0,5.0
DOGEUSDT,-1.006635617350572e-06,0.006167074443153986,61.670744431539866,0.0016138620207832408,0.0008382590648994263,16.138620207832407,8.382590648994263
BNBUSDT,-2.055849469953491,0.0026414007774302807,26.414007774302807,0.0006912283021156351,0.0005,6.912283021156352,5.0
XRPUSDT,-2.4748263054488346e-05,0.006765101836438361,67.65101836438362,0.0017703598393690114,0.0007393966065711716,17.703598393690115,7.393966065711716
