,s_decimal_train,s_decimal_oos,s_bps_train,s_bps_oos
BTCUSDT,0.0071702606351706265,0.0063940733394417535,71.70260635170627,63.940733394417535
ETHUSDT,0.008901241771186662,0.010289174734942464,89.01241771186662,102.89174734942465
DOGEUSDT,0.0157196435647614,0.013486166756361804,157.19643564761398,134.86166756361803
BNBUSDT,0.009036808062033313,0.007778723782276253,90.36808062033313,77.78723782276253
XRPUSDT,0.011724067751224292,0.011821998212773308,117.24067751224293,118.21998212773308
